Country Name,Country Code,Series Name,GDP (current US$),"GDP per capita, PPP (current international $)",GDP per capita (current US$),GDP growth (annual %),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Exports of goods and services (% of GDP),"Central government debt, total (% of GDP)",Total reserves (% of total external debt),Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Population, total",Population growth (annual %),Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Tax revenue (% of GDP),Market capitalization of listed domestic companies (% of GDP),Market capitalization of listed domestic companies (current US$),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)"
Brazil,BRA,1998 [YR1998],8.63711E+11,8503.697887,5049.76612,0.338097901,9.408084592,3.195076293,4.924361585,7.030500339,0,18.38325825,16.43858493,10.15,171039804,1.468339709,0,69.189,0,0,0,0,0,0.00,0.593831788,3.340887134,0.330436104
Brazil,BRA,1999 [YR1999],5.99642E+11,8541.710725,3456.423595,0.467937566,11.41726822,4.858447499,8.010500883,9.564898261,0,14.82664435,20.98216648,11.13,173486281,1.420222287,0,69.524,0,0,0,0,0,0.00,0.404652382,4.733769826,0.249758658
Brazil,BRA,2000 [YR2000],6.55448E+11,8994.743062,3726.81142,4.387949447,12.45171335,7.044141059,5.606065141,10.188048,0,13.61389956,22.63976136,0,175873720,1.36677133,0,69.737,86.50005341,86.22798157,86.36788177,0,34.503461,226152000000.00,0.414332171,5.033917141,0.380970769
Brazil,BRA,2001 [YR2001],5.59984E+11,9202.876484,3142.235528,1.389896401,14.56457435,6.840359025,8.225094321,12.37171067,0,15.59683841,26.93628502,10.65,178211881,1.320694758,0,70.195,0,0,0,0,33.25768387,186238000000.00,0.341440585,4.147593261,-0.265917202
Brazil,BRA,2002 [YR2002],5.09795E+11,9510.823883,2824.715396,3.053461859,13.38776713,8.450164377,9.798112238,14.23059027,0,16.31088417,27.6183574,10.64,180476685,1.262841536,0,70.41,0,0,0,0,24.86518359,126762000000.00,0.297000074,3.253580632,0.486176342
Brazil,BRA,2003 [YR2003],5.58234E+11,9693.555482,3056.64968,1.140828998,12.95960101,14.71491972,14.09102152,15.18078371,0,20.89682854,28.14038472,11.17,182629278,1.185669439,0,70.72,0,0,0,0,42.01824968,234560000000.00,0.315328022,1.813400594,0.040984446
Brazil,BRA,2004 [YR2004],6.69289E+11,10407.83935,3623.223905,5.759964637,13.13249097,6.5971851,7.752060763,16.54576151,0,23.98568285,29.67825248,10.07,184722043,1.139393012,0,71.131,88.80612946,88.40946198,88.61624146,0,49.3578142,330347000000.00,0.348124503,2.71353208,1.46759909
Brazil,BRA,2005 [YR2005],8.91634E+11,10954.86026,4773.26848,3.202132061,11.84296595,6.869537209,7.431224753,15.24382927,0,28.5612586,27.08679521,10.55,186797334,1.117202878,0,71.753,0,0,0,0,53.23338638,474647000000.00,0.435721531,1.733893572,0.326410998
Brazil,BRA,2006 [YR2006],1.10763E+12,11614.49854,5866.024313,3.961988711,11.66738359,4.183568129,6.774274119,14.3743163,0,44.17989077,26.04169989,9.69,188820682,1.077353846,0,72.037,89.85559082,89.35324097,89.61522675,0,64.12335877,710247000000.00,0.505060489,1.753125435,2.600006694
Brazil,BRA,2007 [YR2007],1.39711E+12,12522.51594,7323.19034,6.069870607,11.96493627,3.641272991,6.439038087,13.3276751,0,75.62919605,25.29261137,9.28,190779453,1.032027233,0,72.365,90.22801208,89.7721405,90.0093689,0,98.03860154,1369710000000.00,0.584801838,3.190826559,1.221177955
